AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Heartland AEA,Marion County,Melcher-Dallas Community School District,Melcher-Dallas High School,4212-0109,High,"09, 10, 11, 12",2014-2015,Unable to Rate
Grant Wood AEA,Washington County,Mid-Prairie Community School District,Mid-Prairie High School,4271-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Grant Wood AEA,Washington County,Mid-Prairie Community School District,Mid-Prairie Middle School,4271-0209,Middle,"06, 07, 08",2014-2015,Commendable
Keystone AEA,Clayton County,MFL MarMac Community School District,MFL MarMac Middle School,4419-0209,Middle,"06, 07, 08",2014-2015,Exceptional
AEA 267,Poweshiek County,Montezuma Community School District,Montezuma High School,4437-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Grant Wood AEA,Jones County,Monticello Community School District,Monticello Middle School,4446-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Great Prairie AEA,Appanoose County,Moravia Community School District,Moravia Elementary School,4491-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,West Middle School,4581-0218,Middle,"06, 07, 08",2014-2015,Needs Improvement
AEA 267,Bremer County,Nashua-Plainfield Community School District,Nashua-Plainfield Intermediate School,4599-0427,Middle,"05, 06",2014-2015,Unable to Rate
Heartland AEA,Story County,Nevada Community School District,Nevada Middle School,4617-0218,Middle,"05, 06, 07, 08",2014-2015,Commendable
Keystone AEA,Chickasaw County,New Hampton Community School District,New Hampton High School,4662-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Heartland AEA,Jasper County,Newton Community School District,Basics and Beyond Alternative School,4725-0127,High,"11, 12",2014-2015,Unable to Rate
Mississippi Bend AEA,Scott County,North Scott Community School District,Edward White Elementary School,4784-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
AEA 267,Tama County,North Tama County Community School District,North Tama High School,4785-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Commendable
Keystone AEA,Winneshiek County,North Winneshiek Community School District,North Winneshiek  Middle School,4787-0172,Middle,"06, 07, 08",2014-2015,Unable to Rate
AEA 267,Worth County,Northwood-Kensett Community School District,Northwood-Kensett Elementary,4788-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Heartland AEA,Warren County,Norwalk Community School District,Oviatt Elementary School,4797-0418,Elementary,"KG,  01, 02",2014-2015,Unable to Rate
Prairie Lakes AEA,Dickinson County,Okoboji Community School District,Okoboji Middle School,4890-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
Grant Wood AEA,Jones County,Olin Consolidated School District,Olin Elementary School,4905-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Unable to Rate
Great Prairie AEA,Wapello County,Ottumwa Community School District,Evans Middle School,5049-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Great Prairie AEA,Wapello County,Ottumwa Community School District,Eisenhower Elementary School,5049-0423,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Dallas County,Perry Community School District,Perry High School,5184-0109,High,"09, 10, 11, 12",2014-2015,Needs Improvement
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Pleasant Valley  Junior  High School,5250-0209,Middle,"07, 08",2014-2015,Exceptional
Keystone AEA,Allamakee County,Postville Community School District,John R Mott High School,5310-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,Needs Improvement
Green Hills AEA,Montgomery County,Red Oak Community School District,Washington Intermediate  School,5463-0445,Elementary,"04, 05",2014-2015,Commendable
Northwest AEA,Plymouth County,Remsen-Union Community School District,Remsen-Union Elementary School,5486-0409,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
Keystone AEA,Howard County,Riceville Community School District,Riceville High School,5508-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Needs Improvement
Green Hills AEA,Pottawattamie County,Riverside Community School District,Riverside Community Intermediate School,5510-0427,Elementary,"04, 05, 06",2014-2015,Unable to Rate
Heartland AEA,Story County,Roland-Story Community School District,Roland-Story High School,5643-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Prairie Lakes AEA,Palo Alto County,Ruthven-Ayrshire Community School District,Ruthven-Ayrshire High School,5724-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Unable to Rate
AEA 267,Mitchell County,St Ansgar Community School District,St Ansgar High School,5751-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Northwest AEA,Woodbury County,Sergeant Bluff-Luton Community School District,Sergeant Bluff-Luton Middle School,5877-0418,Middle,"06, 07, 08",2014-2015,Commendable
Great Prairie AEA,Wayne County,Seymour Community School District,Seymour High School,5895-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,Unable to Rate
Green Hills AEA,Page County,Shenandoah Community School District,Shenandoah Elementary  School,5976-0409,Elementary,"KG,  01, 02, 03, 04",2014-2015,Commendable
Northwest AEA,Woodbury County,Sioux City Community School District,North High School,6039-0136,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Needs Improvement
Northwest AEA,Woodbury County,Sioux City Community School District,Riverside Elementary School,6039-0580,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Prairie Lakes AEA,Hamilton County,South Hamilton Community School District,South Hamilton Elem,6095-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Heartland AEA,Polk County,Southeast Polk Community School District,Delaware Elementary School,6101-0423,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Runnells Elementary School,6101-0436,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Prairie Lakes AEA,Clay County,Spencer Community School District,Spencer High School,6102-0109,High,"09, 10, 11, 12",2014-2015,Acceptable
Green Hills AEA,Montgomery County,Stanton Community School District,Stanton High School,6165-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Unable to Rate
Prairie Lakes AEA,Buena Vista County,Storm Lake Community School District,Storm Lake Elementary,6219-0418,Elementary,"KG,  01, 02, 03, 04",2014-2015,Needs Improvement
AEA 267,Bremer County,Sumner-Fredericksburg Community School District,Sumner-Fredericksburg HS,6273-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Green Hills AEA,Pottawattamie County,Tri-Center Community School District,Tri-Center High School,6460-0109,High,"09, 10, 11, 12",2014-2015,High-Performing
Green Hills AEA,Pottawattamie County,Tri-Center Community School District,Tri-Center Middle School,6460-0209,Middle,"06, 07, 08",2014-2015,Acceptable
Keystone AEA,Winneshiek County,Turkey Valley Community School District,Turkey Valley Jr-Sr High School,6509-0172,High,"07, 08, 09, 10, 11, 12",2014-2015,High-Performing
Grant Wood AEA,Benton County,Vinton-Shellsburg Community School District,Shellsburg Elementary School,6660-0421,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Acceptable
AEA 267,Buchanan County,Wapsie Valley Community School District,Fairbank Elementary School,6762-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Acceptable
Grant Wood AEA,Washington County,Washington Community School District,Washington Middle School,6768-0209,Middle,"06, 07, 08",2014-2015,Acceptable
AEA 267,Black Hawk County,Waterloo Community School District,Kingsley Elementary School,6795-0499,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Commendable
Heartland AEA,Dallas County,Waukee Community School District,Eason Elementary,6822-0421,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,High-Performing
Heartland AEA,Dallas County,Waukee Community School District,Woodland Hills,6822-0442,Elementary,"KG,  01, 02, 03, 04, 05",2014-2015,Unable to Rate
Great Prairie AEA,Wayne County,Wayne Community School District,Wayne Elementary School,6854-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Prairie Lakes AEA,Hamilton County,Webster City Community School District,Webster City Middle School,6867-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Grant Wood AEA,Cedar County,West Branch Community School District,West Branch Middle School,6930-0209,Middle,"05, 06, 07, 08",2014-2015,Acceptable
Great Prairie AEA,Des Moines County,West Burlington Independent School District,West Burlington High School,6937-0109,High,"09, 10, 11, 12",2014-2015,Commendable
Heartland AEA,Polk County,West Des Moines Community School District,Westridge Elementary,6957-0476,Elementary,"KG,  01, 02, 03, 04, 05, 06",2014-2015,Commendable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Drexler Middle- Intermediate School,6961-0209,Middle,"05, 06, 07, 08",2014-2015,Commendable
Northwest AEA,Lyon County,West Lyon Community School District,West Lyon Junior High School,6983-0209,Middle,"07, 08",2014-2015,Acceptable
Northwest AEA,Monona County,Whiting Community School District,Whiting Senior High School,7002-0109,High,"06, 07, 08, 09, 10, 11, 12",2014-2015,Unable to Rate
Grant Wood AEA,Iowa County,Williamsburg Community School District,Williamsburg Jr-Sr High School,7029-0109,High,"07, 08, 09, 10, 11, 12",2014-2015,High-Performing
