AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Grant Wood AEA,Linn County,Mount Vernon Community School District,Mount Vernon High School,4554-0109,High,"09, 10, 11, 12",2016-2017,High-Performing
Green Hills AEA,Clarke County,Murray Community School District,Murray Jr/Sr High,4572-0172,High,"06, 07, 08, 09, 10, 11, 12",2016-2017,Acceptable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,Muscatine High School,4581-0109,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,McKinley Elementary School,4581-0454,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,Mulberry Elementary School,4581-0461,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
AEA 267,Chickasaw County,Nashua-Plainfield Community School District,Nashua-Plainfield  Elementary School,4599-0409,Elementary,"KG,  01, 02, 03",2016-2017,High-Performing
Prairie Lakes AEA,Buena Vista County,Newell-Fonda Community School District,Newell-Fonda High School,4644-0172,High,"09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Jasper County,Newton Community School District,Emerson Hough Elementary School,4725-0432,Elementary,"KG,  01, 02, 03, 04",2016-2017,Unable to Rate
AEA 267,Floyd County,Central Springs Community School District,Central Springs Elem. School - Nora Springs,4772-0418,Elementary,"KG,  01, 02, 03",2016-2017,Unable to Rate
Heartland AEA,Polk County,North Polk Community School District,North Polk Middle School,4779-0209,Middle,"06, 07, 08",2016-2017,High-Performing
Mississippi Bend AEA,Scott County,North Scott Community School District,North Scott Senior High School,4784-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,North Scott Community School District,John Glenn Elementary School,4784-0436,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
AEA 267,Tama County,North Tama County Community School District,North Tama Elementary,4785-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Prairie Lakes AEA,Sac County,Odebolt-Arthur Community School District,Odebolt-Arthur Elementary School,4860-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Keystone AEA,Fayette County,Oelwein Community School District,Oelwein High School,4869-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Boone County,Ogden Community School District,Ogden Middle School,4878-0418,Middle,"05, 06, 07, 08",2016-2017,Commendable
AEA 267,Mitchell County,Osage Community School District,Osage Middle School,4995-0209,Middle,"05, 06, 07, 08",2016-2017,Acceptable
Great Prairie AEA,Mahaska County,Oskaloosa Community School District,Oskaloosa High School,5013-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Great Prairie AEA,Wapello County,Ottumwa Community School District,Horace Mann Elementary School,5049-0481,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Great Prairie AEA,Wapello County,Ottumwa Community School District,Douma Elementary School,5049-0509,Elementary,"KG,  01",2016-2017,Unable to Rate
Prairie Lakes AEA,Greene County,Paton-Churdan Community School District,Paton-Churdan Jr-Sr High School,5139-0172,High,"06, 07, 08, 09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Jasper County,PCM Community School District,Prairie City Elementary School,5160-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Great Prairie AEA,Jefferson County,Pekin Community School District,Pekin Middle School,5163-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Keystone AEA,Allamakee County,Postville Community School District,Cora B Darling   Elementary,5310-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Priority
Prairie Lakes AEA,Webster County,Prairie Valley Community School District,Southeast Valley High School,5325-0109,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Keystone AEA,Howard County,Riceville Community School District,Riceville Elementary School,5508-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Story County,Roland-Story Community School District,Roland-Story Middle School,5643-0209,Middle,"05, 06, 07, 08",2016-2017,Commendable
Heartland AEA,Story County,Roland-Story Community School District,Roland-Story Elementary School,5643-0409,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
AEA 267,Mitchell County,St Ansgar Community School District,St Ansgar Elementary School,5751-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
AEA 267,Franklin County,West Fork Community School District,West Fork High School,5922-0109,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Northwest AEA,Osceola County,Sibley-Ocheyedan Community School District,Sibley-Ocheyedan High School,5994-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Prairie Lakes AEA,Buena Vista County,Sioux Central Community School District,Sioux Central High,6035-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Prairie Lakes AEA,Buena Vista County,Sioux Central Community School District,Sioux Central Middle School,6035-0218,Middle,"07, 08",2016-2017,Priority
Northwest AEA,Woodbury County,Sioux City Community School District,Loess Hills Elementary,6039-0547,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,Morningside Elementary,6039-0572,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Unable to Rate
Northwest AEA,Woodbury County,Sioux City Community School District,Unity Elementary School,6039-0612,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Green Hills AEA,Page County,South Page Community School District,South Page Elementary School,6097-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06, 07",2016-2017,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Altoona Elementary School,6101-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Four Mile Elementary School,6101-0425,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Heartland AEA,Polk County,Southeast Polk Community School District,Spring Creek - 6th Grade,6101-0438,Middle,"06, 07",2016-2017,Acceptable
Grant Wood AEA,Linn County,Springville Community School District,Springville Elementary School,6138-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Heartland AEA,Guthrie County,West Central Valley Community School District,Stuart Elementary School,6264-0405,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Green Hills AEA,Pottawattamie County,Treynor Community School District,Treynor Elementary School,6453-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Great Prairie AEA,Keokuk County,Tri-County Community School District,Tri-County High School,6462-0109,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Great Prairie AEA,Keokuk County,Tri-County Community School District,Tri-County Elementary School,6462-0436,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Priority
AEA 267,Bremer County,Tripoli Community School District,Tripoli Elementary School,6471-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
AEA 267,Black Hawk County,Union Community School District,La Porte City Elementary School,6536-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Heartland AEA,Boone County,United Community School District,United South,6561-0418,Elementary,"02, 03, 04, 05, 06",2016-2017,Commendable
Heartland AEA,Polk County,Urbandale Community School District,Jensen Elementary School,6579-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Great Prairie AEA,Van Buren County,Van Buren Community School District,Van Buren  High School,6592-0109,High,"07, 08, 09, 10, 11, 12",2016-2017,Acceptable
AEA 267,Buchanan County,Wapsie Valley Community School District,Rural Elementary School #4,6762-0463,Elementary,"KG,  01, 02, 03, 04, 05, 06, 07, 08",2016-2017,Unable to Rate
AEA 267,Black Hawk County,Waterloo Community School District,Fred Becker Elementary School,6795-0436,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Heartland AEA,Dallas County,Waukee Community School District,Prairieview School,6822-0209,Middle,"08, 09",2016-2017,Exceptional
Heartland AEA,Dallas County,Waukee Community School District,Waukee South MS,6822-0218,Middle,"06, 07",2016-2017,High-Performing
AEA 267,Bremer County,Waverly-Shell Rock Community School District,Waverly-Shell Rock Senior High School,6840-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Prairie Lakes AEA,Hamilton County,Webster City Community School District,Sunset Heights Elementary School,6867-0472,Elementary,"02, 03, 04",2016-2017,Commendable
Keystone AEA,Fayette County,West Central Community School District,West Central PK - 8 School,6943-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06, 07, 08",2016-2017,Acceptable
Heartland AEA,Polk County,West Des Moines Community School District,Walnut Creek Campus,6957-0118,High,"09, 10, 11, 12",2016-2017,Unable to Rate
Heartland AEA,Polk County,West Des Moines Community School District,Clive Learning Academy,6957-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Keystone AEA,Dubuque County,Western Dubuque Community School District,Cascade Junior-Senior High School,6961-0172,High,"07, 08, 09, 10, 11, 12",2016-2017,Commendable
Northwest AEA,Lyon County,West Lyon Community School District,West Lyon High School,6983-0109,High,"09, 10, 11, 12",2016-2017,Exceptional
Northwest AEA,Sioux County,West Sioux Community School District,Hawarden Elementary School,6990-0409,Elementary,"02, 03, 04, 05",2016-2017,Acceptable
Northwest AEA,Woodbury County,Westwood Community School District,Westwood High School,6992-0109,High,"07, 08, 09, 10, 11, 12",2016-2017,High-Performing
Northwest AEA,Woodbury County,Woodbury Central Community School District,Moville Elementary School,7098-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
AEA 267,Hardin County,AGWSR Community School District,AGWSR High School,0009-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
AEA 267,Grundy County,AGWSR Community School District,AGWSR Middle School,0009-0172,Middle,"06, 07, 08",2016-2017,Acceptable
Heartland AEA,Guthrie County,Adair-Casey Community School District,Adair-Casey Jr. High  School,0018-0209,Middle,"07,08",2016-2017,Unable to Rate
Heartland AEA,Dallas County,Adel DeSoto Minburn Community School District,ADM Senior High School,0027-0172,High,"09, 10, 11, 12",2016-2017,Commendable
Great Prairie AEA,Monroe County,Albia Community School District,Albia High School,0081-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Prairie Lakes AEA,Kossuth County,Algona Community School District,Bryant Elementary School,0126-0412,Elementary,"01, 02",2016-2017,Unable to Rate
Heartland AEA,Story County,Ames Community School District,Meeker Elementary School,0225-0454,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Grant Wood AEA,Jones County,Anamosa Community School District,Anamosa High School,0234-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Mississippi Bend AEA,Jackson County,Andrew Community School District,Andrew Elementary School,0243-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
AEA 267,Butler County,Aplington-Parkersburg Community School District,Aplington Parkersburg High School,0279-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Heartland AEA,Audubon County,Audubon Community School District,Audubon Elementary School,0414-0409,Elementary,"KG,  01, 02, 03, 04",2016-2017,High-Performing
Northwest AEA,Cherokee County,Aurelia Community School District,Aurelia Middle School,0423-0251,Middle,"05, 06, 07, 08",2016-2017,Acceptable
Heartland AEA,Story County,Ballard Community School District,Ballard High School,0472-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
AEA 267,Wright County,Belmond-Klemme Community School District,Belmond-Klemme Alternative School,0594-0118,High,"10, 11, 12",2016-2017,Unable to Rate
Great Prairie AEA,Wapello County,Eddyville-Blakesburg- Fremont Community School District,Eddyville-Blakesburg- Fremont Jr/Sr High,0657-0172,High,"07, 08, 09, 10, 11, 12",2016-2017,Acceptable
AEA 267,Poweshiek County,Brooklyn-Guernsey-Malcom Community School District,Brooklyn-Guernsey-Malcom Elementary School,0846-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
Green Hills AEA,Cass County,CAM Community School District,CAM High School,0914-0109,High,"09, 10, 11, 12",2016-2017,Priority
AEA 267,Franklin County,CAL Community School District,CAL Elementary School,0916-0418,Elementary,"KG,  01, 02, 03, 04, 05, 07",2016-2017,Commendable
Mississippi Bend AEA,Clinton County,Calamus-Wheatland Community School District,Calamus-Wheatland Elem Attendance Center,0918-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Harrison Elementary School,1053-0490,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Kenwood Elementary School,1053-0526,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Pierce Elementary School,1053-0569,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Taylor Elementary School,1053-0580,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Wright Elementary School,1053-0616,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Green Hills AEA,Decatur County,Central Decatur Community School District,Central Decatur MS/HS High School,1093-0172,High,"07, 08, 09, 10, 11, 12",2016-2017,Acceptable
Northwest AEA,Lyon County,Central Lyon Community School District,Central Lyon Senior High School,1095-0109,High,"09, 10, 11, 12",2016-2017,High-Performing
Great Prairie AEA,Lucas County,Chariton Community School District,Chariton High School,1107-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Great Prairie AEA,Lucas County,Chariton Community School District,Chariton Middle School,1107-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Northwest AEA,Cherokee County,Cherokee Community School District,Roosevelt Elementary School,1152-0427,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
Prairie Lakes AEA,Wright County,Clarion-Goldfield-Dows Community School District,Clarion-Goldfield-Dows High School,1206-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Green Hills AEA,Clarke County,Clarke Community School District,Clarke Community High School,1211-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
AEA 267,Cerro Gordo County,Clear Lake Community School District,Clear Lake High School,1233-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Heartland AEA,Story County,Collins-Maxwell Community School District,Collins-Maxwell Middle/High School,1350-0109,High,"06, 07, 08, 09, 10, 11, 12",2016-2017,Acceptable
Green Hills AEA,Iowa County,Corning Community School District,Corning Elementary School,1431-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Abraham Lincoln High School,1476-0118,High,"09, 10, 11, 12",2016-2017,Acceptable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Carter Lake Elementary School,1476-0422,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Lewis & Clark Elementary School,1476-0490,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Longfellow Elementary School,1476-0499,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Dallas County,Dallas Center-Grimes Community School District,DC-G Meadows,1576-0218,Middle,"08, 09",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Central High School,1611-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,West High School,1611-0118,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Mississippi Bend AEA,Scott County,Davenport Community School District,Wood Intermediate,1611-0205,Middle,"06, 07, 08",2016-2017,Needs Improvement
Mississippi Bend AEA,Scott County,Davenport Community School District,Sudlow Intermediate,1611-0218,Middle,"06, 07, 08",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Harrison Elementary School,1611-0454,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Truman Elementary School,1611-0573,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Keystone AEA,Winneshiek County,Decorah Community School District,Carrie Lee Elementary,1638-0409,Elementary,"03, 04",2016-2017,Commendable
Mississippi Bend AEA,Clinton County,Delwood Community School District,Delwood Elementary School,1675-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
Heartland AEA,Polk County,Des Moines Independent Community School District,Brody Middle School,1737-0205,Middle,"06, 07, 08",2016-2017,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Hiatt Middle School,1737-0245,Middle,"06, 07, 08",2016-2017,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,Meredith Middle School,1737-0269,Middle,"06, 07, 08",2016-2017,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Carver Elementary,1737-0435,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,Hanawalt Elementary,1737-0562,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Monroe Elementary School,1737-0715,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Heartland AEA,Polk County,Des Moines Independent Community School District,Willard Elementary School,1737-0904,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Ruby Van Meter School,1737-0988,High,"06, 07, 08, 09, 10, 11, 12",2016-2017,Unable to Rate
AEA 267,Butler County,Dike-New Hartford Community School District,New Hartford Elementary School,1791-0418,Elementary,"KG,  01, 02, 05",2016-2017,High-Performing
Keystone AEA,Dubuque County,Dubuque Community School District,Hempstead High School,1863-0118,High,"09, 10, 11, 12",2016-2017,Acceptable
Keystone AEA,Dubuque County,Dubuque Community School District,Fulton Elementary School,1863-0472,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Green Hills AEA,Crawford County,Boyer Valley Community School District,Boyer Valley Elementary School,1917-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Mississippi Bend AEA,Jackson County,Easton Valley Community School District,Easton Valley Elementary School,1965-0405,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
Grant Wood AEA,Iowa County,English Valleys Community School District,English Valleys Jr-Sr High School,2097-0109,High,"07, 08, 09, 10, 11, 12",2016-2017,Acceptable
Great Prairie AEA,Jefferson County,Fairfield Community School District,Fairfield High School,2169-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Great Prairie AEA,Jefferson County,Fairfield Community School District,Fairfield Middle School,2169-0209,Middle,"05, 06, 07, 08",2016-2017,Acceptable
AEA 267,Hancock County,Garner-Hayfield-Ventura Community School District,Garner-Hayfield-Ventura Elementary School,2403-0418,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
Northwest AEA,Lyon County,George-Little Rock Community School District,George-Little Rock Senior High School,2457-0172,High,"09, 10, 11, 12",2016-2017,Commendable
Green Hills AEA,Mills County,Glenwood Community School District,Glenwood Senior High School,2511-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Prairie Lakes AEA,Palo Alto County,Graettinger-Terril Community School District,Graettinger-Terril Middle School,2556-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Keystone AEA,Clayton County,Clayton Ridge Community School District,Clayton Ridge Middle School,2763-0209,Middle,"04, 05, 06, 07",2016-2017,Acceptable
Grant Wood AEA,Iowa County,H-L-V Community School District,H-L-V Junior-Senior High School,2766-0172,High,"07, 08, 09, 10, 11, 12",2016-2017,Commendable
Green Hills AEA,Iowa County,Hamburg Community School District,Hamburg Middle School,2772-0227,Middle,"06,07,08",2016-2017,Unable to Rate
AEA 267,Franklin County,Hampton-Dumont Community School District,Hampton-Dumont Middle School,2781-0209,Middle,"04, 05, 06, 07, 08",2016-2017,Acceptable
Green Hills AEA,Shelby County,Harlan Community School District,Harlan  Intermediate School,2826-0427,Elementary,"03, 04, 05",2016-2017,Commendable
Grant Wood AEA,Johnson County,Iowa City Community School District,North Central Junior High School,3141-0209,Middle,"07, 08",2016-2017,Commendable
Grant Wood AEA,Johnson County,Iowa City Community School District,Penn Elementary School,3141-0447,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
Grant Wood AEA,Johnson County,Iowa City Community School District,Grant Wood Elementary School,3141-0481,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Priority
Grant Wood AEA,Johnson County,Iowa City Community School District,Weber Elementary,3141-0488,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
AEA 267,Bremer County,Janesville Consolidated School District,Janesville Elementary School,3186-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
AEA 267,Buchanan County,Jesup Community School District,Jesup High School,3204-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Heartland AEA,Polk County,Johnston Community School District,Johnston Senior High School,3231-0109,High,"10, 11, 12",2016-2017,High-Performing
Northwest AEA,Plymouth County,Kingsley-Pierson Community School District,Kingsley-Pierson High School,3348-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Northwest AEA,Woodbury County,Kingsley-Pierson Community School District,Pierson Middle School,3348-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Heartland AEA,Marion County,Knoxville Community School District,West Elementary,3375-0445,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
Northwest AEA,Woodbury County,Lawton-Bronson Community School District,Bronson Elementary School,3555-0405,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
Green Hills AEA,Pottawattamie County,Lewis Central Community School District,Lewis Central Senior High School,3645-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Grant Wood AEA,Cedar County,North Cedar Community School District,North Cedar Jr/Sr High School,3691-0172,High,"07, 08, 09, 10, 11, 12",2016-2017,Needs Improvement
Grant Wood AEA,Linn County,Linn-Mar Community School District,Novak Elementary School,3715-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Grant Wood AEA,Linn County,Lisbon Community School District,Lisbon High School,3744-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Grant Wood AEA,Linn County,Lisbon Community School District,Lisbon Middle School,3744-0209,Middle,"07, 08, 09",2016-2017,Commendable
Green Hills AEA,Harrison County,Logan-Magnolia Community School District,Logan-Magnolia Jr-Sr High School,3798-0172,High,"07, 08, 09, 10, 11, 12",2016-2017,Commendable
Northwest AEA,Monona County,Maple Valley-Anthon Oto Community School District,Maple Valley-Anthon Oto High School,4033-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Keystone AEA,Delaware County,Maquoketa Valley Community School District,Johnston Elementary School,4043-0427,Elementary,"01, 02",2016-2017,Unable to Rate
Grant Wood AEA,Linn County,Marion Independent School District,Starry Elementary School,4086-0445,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
AEA 267,Marshall County,Marshalltown Community School District,Anson Elementary School,4104-0427,Elementary,"KG,  01, 02, 03, 04",2016-2017,Priority
Heartland AEA,Warren County,Martensdale-St Marys Community School District,Martensdale Elementary School,4122-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Needs Improvement
AEA 267,Cerro Gordo County,Mason City Community School District,Alternative School,4131-0127,High,"10, 11, 12",2016-2017,Unable to Rate
AEA 267,Cerro Gordo County,Mason City Community School District,Harding Elementary School,4131-0427,Elementary,"KG,  01, 02, 03, 04",2016-2017,Acceptable
AEA 267,Cerro Gordo County,Mason City Community School District,Lincoln Intermediate,4131-0454,Elementary,"05, 06",2016-2017,Needs Improvement
Grant Wood AEA,Washington County,Mid-Prairie Community School District,Alterntive Learning Cent,4271-0118,High,"10, 11, 12",2016-2017,Unable to Rate
Great Prairie AEA,Henry County,Mount Pleasant Community School District,Harlan Elementary School,4536-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Mississippi Bend AEA,Muscatine County,Muscatine Community School District,Jefferson Elementary School,4581-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Jasper County,Newton Community School District,Aurora Heights Elementary School,4725-0408,Elementary,"KG,  01, 02, 03, 04",2016-2017,Unable to Rate
Prairie Lakes AEA,Kossuth County,North Kossuth Community School District,North Kossuth Elementary School,4778-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Mississippi Bend AEA,Scott County,North Scott Community School District,Virgil Grissom Elementary School,4784-0418,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
Keystone AEA,Fayette County,Oelwein Community School District,Wings Park Elementary School,4869-0407,Elementary,"02, 03, 04, 05",2016-2017,Acceptable
Great Prairie AEA,Wapello County,Ottumwa Community School District,Ottumwa High School,5049-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Guthrie County,Panorama Community School District,Panorama High School,5121-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Guthrie County,Panorama Community School District,Panorama Middle School,5121-0209,Middle,"06, 07, 08",2016-2017,Needs Improvement
Great Prairie AEA,Jefferson County,Pekin Community School District,Pekin Community High School,5163-0109,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Heartland AEA,Marion County,Pella Community School District,Pella High School,5166-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Heartland AEA,Marion County,Pella Community School District,Pella Middle School,5166-0209,Middle,"07, 08",2016-2017,Commendable
Heartland AEA,Dallas County,Perry Community School District,Perry Elementary,5184-0412,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Bridgeview Elementary School,5250-0403,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,High-Performing
Mississippi Bend AEA,Scott County,Pleasant Valley Community School District,Riverdale Heights Elem School,5250-0411,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,High-Performing
Heartland AEA,Marion County,Pleasantville Community School District,Pleasantville High School,5256-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Marion County,Pleasantville Community School District,Pleasantville Middle School,5256-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Prairie Lakes AEA,Pocahontas County,Pocahontas Area Community School District,Pocahontas Area Elementary School,5283-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Unable to Rate
Green Hills AEA,Montgomery County,Red Oak Community School District,Red Oak Middle School,5463-0209,Middle,"06, 07, 08",2016-2017,Needs Improvement
Heartland AEA,Polk County,Saydel Community School District,Woodside Middle School,5805-0209,Middle,"05, 06, 07, 08",2016-2017,Needs Improvement
Northwest AEA,Crawford County,Schleswig Community School District,Schleswig Elementary School,5832-0418,Elementary,"KG,  01, 02, 03, 04",2016-2017,Exceptional
Green Hills AEA,Freemont County,Sidney Community School District,Sidney High School,6003-0109,High,"07, 08, 09, 10, 11, 12",2016-2017,Commendable
Northwest AEA,Sioux County,Sioux Center Community School District,Sioux Center Middle School,6030-0209,Middle,"05, 06, 07, 08",2016-2017,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,North Middle School,6039-0220,Middle,"06, 07, 08",2016-2017,Acceptable
Northwest AEA,Woodbury County,Sioux City Community School District,West Middle School,6039-0227,Middle,"06, 07, 08",2016-2017,Needs Improvement
Northwest AEA,Woodbury County,Sioux City Community School District,Hunt Elementary School,6039-0517,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Grant Wood AEA,Johnson County,Solon Community School District,Solon High School,6093-0172,High,"09, 10, 11, 12",2016-2017,Commendable
Grant Wood AEA,Johnson County,Solon Community School District,Lakeview Elementary,6093-0409,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
